"cable_style","nc","cc","xa","ne","xae","od","br","wght","ct","core_con","mt"
BV,5,c,"4",0,0.00,1.085,3.26,1017,p,,1302
BV,5,c,"50",0,0.00,33.600,101.00,2710,p,,1301
BV,5,c,"6",0,0.00,14.900,45.00,407,p,,1301
BV,5,c,"6",0,0.00,0.950,2.85,712,p,,1302
BV,5,c,"70",0,0.00,39.500,118.00,3903,p,,1301
BV,5,c,"8",0,0.00,0.800,2.40,468,p,,1302
BV,5,c,"95",0,0.00,44.300,133.00,4848,p,,1301
BV,7,c,"1.5",0,0.00,11.400,34.00,168,p,,1301
BV,7,c,"14",0,0.00,0.520,1.56,168,p,,1302
BV,7,c,"16",0,0.00,0.470,1.41,124,p,,1302
BV,7,c,"2.5",0,0.00,12.900,39.00,239,p,,1301
BV,10,c,"1.5",0,0.00,14.500,43.00,240,p,,1301
BV,10,c,"2.5",0,0.00,16.300,49.00,340,p,,1301
BV,12,c,"1.5",0,0.00,15.100,45.00,275,p,,1301
BV,12,c,"14",0,0.00,0.710,2.13,304,p,,1302
BV,12,c,"16",0,0.00,0.645,1.94,226,p,,1302
BV,12,c,"2.5",0,0.00,17.200,52.00,402,p,,1301
BV,14,c,"1.5",0,0.00,15.800,47.00,313,p,,1301
BV,14,c,"2.5",0,0.00,18.100,54.00,459,p,,1301
BV,16,c,"1.5",0,0.00,16.900,51.00,358,p,,1301
BV,16,c,"2.5",0,0.00,19.100,57.00,516,p,,1301
BV,19,c,"1.5",0,0.00,17.900,54.00,414,p,,1301
BV,19,c,"14",0,0.00,0.830,2.49,430,p,,1302
BV,19,c,"16",0,0.00,0.750,2.25,313,p,,1302
BV,19,c,"2.5",0,0.00,20.300,61.00,608,p,,1301
BV,24,c,"1.5",0,0.00,20.900,63.00,523,p,,1301
BV,24,c,"14",0,0.00,1.010,3.03,625,p,,1302
BV,24,c,"16",0,0.00,0.915,2.75,464,p,,1302
BV,24,c,"2.5",0,0.00,23.800,71.00,768,p,,1301
BV,27,c,"1.5",0,0.00,21.500,65.00,576,p,,1301
BV,27,c,"14",0,0.00,1.030,3.09,650,p,,1302
